species num_alleles_mean num_alleles_mean.CIlow num_alleles_mean.CIhigh num_alleles_sd num_alleles_sd.CIlow num_alleles_sd.CIhigh exp_het_mean exp_het_mean.CIlow exp_het_mean.CIhigh exp_het_sd exp_het_sd.CIlow exp_het_sd.CIhigh obs_het_mean obs_het_mean.CIlow obs_het_mean.CIhigh obs_het_sd obs_het_sd.CIlow obs_het_sd.CIhigh mean_allele_size_sd mean_allele_size_sd.CIlow mean_allele_size_sd.CIhigh sd_allele_size_sd sd_allele_size_sd.CIlow sd_allele_size_sd.CIhigh mean_allele_size_kurtosis mean_allele_size_kurtosis.CIlow mean_allele_size_kurtosis.CIhigh sd_allele_size_kurtosis sd_allele_size_kurtosis.CIlow sd_allele_size_kurtosis.CIhigh mean_allele_range mean_allele_range.CIlow mean_allele_range.CIhigh sd_allele_range sd_allele_range.CIlow sd_allele_range.CIhigh mratio_mean mratio_mean.CIlow mratio_mean.CIhigh mratio_sd mratio_sd.CIlow mratio_sd.CIhigh prop_low_afs_mean prop_low_afs_mean.CIlow prop_low_afs_mean.CIhigh prop_low_afs_sd prop_low_afs_sd.CIlow prop_low_afs_sd.CIhigh
antarctic_fur_seal 9.808 9.476190476190476 10.142857142857142 3.4333322657147574 3.128859440103437 3.7702311294794337 0.81206003733257 0.803321816330129 0.821127290430686 0.10771649523758896 0.09518547566102864 0.12183432020947033 0.8058703924938089 0.7824480380730381 0.828282467177591 0.1153885478725645 0.08858839029256628 0.1420961403889293 3.28604852590394 3.166620254298064 3.4081053826277343 1.5758791484403252 1.421660257086529 1.7327208235257257 4.67989947633649 3.070138232470922 6.014441797249882 6.710953031947757 1.5597913906277552 11.518080167625428 12.938190476190476 12.285714285714286 13.428571428571429 5.910974280221859 5.385142698731337 6.5185540847465555 0.7456657272153926 0.7141919948584107 0.782932351068967 0.16952794679952282 0.1452050773654168 0.19184222313822638 0.34717044634092953 0.2827302393373822 0.40047695224165814 0.14514389657378815 0.10615864360419151 0.18480408496327094
guadalupe_fur_seal 7.2916 7 7.666666666666667 3.6266753167102888 2.9919335069678783 4.3237990350197935 0.7676443898984235 0.7548903708143214 0.7792413765910601 0.0749447143639644 0.06275556281626124 0.08932862549825625 0.7750879721219195 0.7453530701754386 0.8047200854700854 0.0976067683839493 0.07184701019410471 0.12590418486591215 3.1649482249372287 3.03728935026805 3.282454615863105 2.3101831448324344 2.0971169238945944 2.5126190232316024 2.4640241724339487 2.2408557554512663 2.730467615755431 1.1751042424713365 0.7716569073895851 1.8174907443334642 10.193466666666666 9.8 10.733333333333333 7.567771884625814 7.049484952479727 8.163376340882705 0.745715404900584 0.7262407902554963 0.7638946928888106 0.19445876866235867 0.17666249823608865 0.2135359575594249 0.23443768118419822 0.18257512626262629 0.29250411679823446 0.19249391439254915 0.15075209332881914 0.23065734248290123
subantarctic_fur_seal 9.399027027027026 8.945945945945946 9.81081081081081 4.855345697686287 4.506893282820528 5.273770009220011 0.7298826685609919 0.7213862336095186 0.7381108355319463 0.217250835002381 0.2063245811173595 0.2289586804441059 0.7095379911736939 0.6948857446136962 0.7244434874200166 0.22363085114353118 0.21280934886583833 0.2360384170745348 3.4698575191846834 3.3379735281833445 3.5822612915100143 3.296876656040096 2.9244908664035174 3.6285284644819447 5.541852522026551 4.001428340907782 7.135885668550582 7.870842270999615 2.2470617903665127 13.03582670903927 15.182203453453454 14.58293918918919 15.694444444444445 13.696378115458602 13.052984538062208 14.123654060894482 0.7235275989630384 0.6954624019528574 0.7517642950194271 0.23113698437201335 0.21378501949484782 0.251585407136575 0.40246410899339424 0.3574895312230839 0.44563109114739546 0.18102071636108774 0.14545602010277373 0.21046375285005223
galapagos_fur_seal 6.896416666666667 6.583333333333333 7.166666666666667 2.943911829571193 2.4429465101767107 3.476108935769035 0.6678917885977753 0.6484359858277335 0.6859512415812591 0.19211358116500452 0.17273795948953571 0.21366072636149688 0.6859663102880208 0.6579026793747189 0.7131436965811966 0.20727990522959255 0.17707213384855472 0.237950571056191 1.8446297640729994 1.7284757803298032 1.9436163789525467 0.98436859502869 0.861277282669521 1.1115740521161699 5.064301582274872 4.068437403888527 6.044249612216842 4.244371955963813 2.340653291914724 6.265055352837743 8.301291666666666 7.416666666666667 8.918749999999998 5.497889555297193 4.090984150888569 6.478987013976238 0.8149597694926333 0.7779440610308452 0.8607367645523121 0.2017947611171107 0.17483046584425477 0.2238955483775454 0.29180815939235055 0.2273693783068783 0.35695519179894186 0.14207939665546443 0.09044682601238753 0.20069837180305267
stellers_sea_lion 6.083461538461538 5.6923076923076925 6.461538461538462 2.0394134954504755 1.7059473644448735 2.3753536293021544 0.6581236184521556 0.6377721165068896 0.6759074854897064 0.17682316419293398 0.15079724347113882 0.20209963306642947 0.6401849002303456 0.6014238165680473 0.679741124260355 0.18160637587674752 0.14734208857887968 0.21696254209162708 1.6189274944129681 1.542368627593623 1.6993518962139473 0.8256681072984643 0.7697085968673261 0.8988828857176577 3.812284374907292 2.94561024169035 4.801174417932006 3.08069603151414 1.6122168709489282 4.968182043135059 6.336307692307693 5.615384615384615 7 2.7048810064969153 1.8876277394324228 3.3532417767450204 0.8670689545497238 0.824812271062271 0.9077060439560439 0.20748064494665286 0.17592608575315588 0.23240369960875565 0.30191852314352313 0.23777472527472526 0.3611744505494506 0.2050430378454242 0.1602457789849894 0.250761853517848
grey_seal_orkneys 7.190111111111111 6.777777777777778 7.666666666666667 1.556895545376141 1.092906420717 2.0275875100994063 0.7383336813450148 0.7179691903616177 0.7560028461070692 0.08446040846187881 0.05949238367485105 0.1113564276832568 0.7205999160560118 0.6729413329851927 0.765094823833859 0.10920398225549403 0.06761021030616211 0.1544771666500142 2.149829912703665 2.0183641605445652 2.2737311586703375 0.9604667148456725 0.783703504803003 1.1388547967358467 4.303430423954456 3.4110965824318384 5.379257199815278 3.3217767643573763 1.418981402585909 6.297565968343719 8.498888888888889 8 9 3.034074631343662 2.598076211353316 3.5 0.8060311207311207 0.7665210638127304 0.8419753086419753 0.22018521062956098 0.1904659298959408 0.252536962288175 0.3344597162097162 0.24951058201058204 0.4123974867724868 0.14397271911139994 0.08626925047764232 0.20823475855584936
harbour_seal_waddensee 4.058066666666667 3.7333333333333334 4.333333333333333 1.382192279561578 1.0690449676496976 1.6819064565936344 0.48314896356807746 0.4607564401140351 0.5036387678776919 0.16677748843276677 0.14727563038960528 0.18741479327127153 0.46405064102564103 0.43 0.49765170940170944 0.17167782252531968 0.1430503144945728 0.2016653108897704 0.9527399332949614 0.9034075262433569 1.0049003539605201 0.4108289895833773 0.37413886180593675 0.4533883145173945 6.123459380485043 4.402919335018211 9.61763608871932 7.221435079927198 3.444782826074243 19.436993756534974 3.8348 3.4 4.2 1.6901803854244954 1.3556757877060446 1.9714625032814674 0.8654947959183673 0.8195218253968254 0.9128611111111111 0.17743887772039504 0.1378794138830822 0.20983908454944158 0.3158114285714286 0.23108333333333334 0.39889682539682536 0.2020108997790497 0.14417251570848824 0.2525190542284844
galapagos_sea_lion 6.482545454545455 6.181818181818182 6.909090909090909 2.917259890107999 2.483266507945144 3.35498108237845 0.6250196686606825 0.6084264641416162 0.6418922612197927 0.18031483236833976 0.1605649759585897 0.20024761556897802 0.6249783436040015 0.59771925990676 0.654557837995338 0.19139770385173085 0.16574559998742566 0.21859416517438104 1.6837151425631411 1.6144195747571293 1.784131874630279 1.4734393981917737 1.3771816812356685 1.5771209196659952 4.495482940964219 3.731205645152645 5.916694599893485 3.2910981631641967 2.113877914591678 5.456344562627294 6.995 6.363636363636363 8.181818181818182 5.068700791248595 4.130841578153597 6.605880861855685 0.88898517119592535 0.8244441707468111 0.9243431979205006 0.16166128392724838 0.13339895009677322 0.19256211080615648 0.3742538256285495 0.3211426155543803 0.4277066052634234 0.1897697765916762 0.14274541476864858 0.23330735524411747
south_american_fur_seal 7.987285714285714 7.142857142857143 9 1.2501746761976933 0.6900655593423543 1.7994708216848747 0.8011847129712868 0.7755350837519207 0.821573669871218 0.04072047027960568 0.022188537945670134 0.06453007591840383 0.7631099285046703 0.7177255401303804 0.8145140244423332 0.08887432767010238 0.04116286319530362 0.14094398054202206 2.091183650104116 1.9328366645610544 2.329956667096911 0.6002760072284625 0.41426636207375095 0.7480046962083843 3.4117838232271582 2.296724655301609 6.655827513264386 2.3792312127720137 0.3775569385772277 8.848559926589573 8.421857142857142 7.285714285714286 11 2.1898802395751282 1.7043362064926932 2.734262327610589 0.8724946565339422 0.7588944636712495 0.9462527056277056 0.12146195267234494 0.06769035169050479 0.20177407970879405 0.2905121985157699 0.18905187074829935 0.396290713254999 0.1286207789635745 0.059674467360484776 0.1954715846524006
hooded_seal 9.598538461538462 9 10.461538461538462 3.3191504718128755 2.6960916376306687 3.8862017578304013 0.7325167706883275 0.7120777572327172 0.7518144238041294 0.16430093773527538 0.13880249255424584 0.19156996755057631 0.721686023714465 0.6879404996712689 0.7527120315581854 0.16779476848187244 0.13413716827593183 0.2040152656276157 2.4902183617483993 2.377078556495505 2.613598096989019 1.0146709544693837 0.9129972295971095 1.1123409705930007 3.677628461685062 3.1183564361501137 4.435334120243859 2.0234948260295633 1.0927058469690931 4.290802128223215 10.488 9.692307692307692 11.538461538461538 3.6088473979019664 2.782268374474273 4.250188532771524 0.8497103090536914 0.8081375835702759 0.8906648960014345 0.16020151972462682 0.1105810901401942 0.1999686297824102 0.4889752327172576 0.418106210029287 0.5531861574197547 0.13408720632967405 0.09021209401086097 0.1888444331142302
