species g2 CIlow CIup p_val
antarctic_fur_seal 0.0021572554220730122 -0.001277604591652306 0.006577228364028386 0.022
arctic_ringed_seal 8.254532925520142e-4 -0.0018828930455918377 0.003804593708881936 0.246
atlantic_walrus_cl_2 0.004255651525191251 -0.005082187720362096 0.014036517178275134 0.144
australian_fur_seal 0.012751348700343224 -0.015524370539652986 0.0428786948720247 0.192
baltic_ringed_seal 0.005936383052168814 -0.0055176101057905465 0.022246894751937113 0.162
bearded_seal_cl_1 0.005876218694651936 -0.009565061589116061 0.02134606520230535 0.246
california_sea_lion -9.140215626768367e-5 -0.0039382549000728986 0.004209850143576365 0.516
crabeater_seal 4.002418822923737e-5 -0.004269456429457085 0.004783839467836569 0.492
galapagos_fur_seal -0.0014816627823857065 -0.01257702162939864 0.01205455472872334 0.593
galapagos_sea_lion -1.267359219306874e-4 -0.0025437163356651312 0.0024276444502407957 0.493
grey_seal_orkneys 0.001333628451646085 -0.0032841347233394914 0.005759605013921764 0.261
guadalupe_fur_seal 2.6017585456239445e-4 -0.0034544094176944228 0.0044107507947323266 0.43
harbour_seal_waddensee_cl_1 -0.009394650091466561 -0.020138604147303032 0.002887314733529615 0.898
hawaiian_monk_seal 0.01290770831197352 0.007578695171114769 0.018325977779552537 0.001
hooded_seal -0.0013748283758170388 -0.00506333761932035 0.0023060981006267794 0.715
lagoda_ringed_seal_cl_1 2.781641168290161e-4 -0.008479821682384306 0.01008694717113921 0.47
leopard_seal -0.0035258292936500846 -0.007993846691748277 0.0013207814057734687 0.889
mediterranean_monk_seal 0.0741802238277609 0.0021978440568634025 0.16205931232462356 0.014
nes_cl_2 0.010162809231997416 -0.00221070550052938 0.023198998938189146 0.023
new_zealand_fur_seal -0.002937430892344217 -0.014304788948074092 0.008214864608157528 0.668
new_zealand_sea_lion 9.268236673383168e-4 -0.005718440001211333 0.007782621619082969 0.383
northern_fur_seal_cl_1 0.0018581823793342167 -0.007903507784069851 0.01265135470473133 0.333
ross_seal 0.01379340543880092 5.1642961271370755e-5 0.028223260430084305 0.011
saimaa_ringed_seal_cl_1 -0.0012227712040495664 -0.020527601403561184 0.020536891967364454 0.541
ses_cl_4 -0.0023776351582294186 -0.008372799168604202 0.00298698774891879 0.723
south_american_fur_seal_cl_1 0.019028900300682716 -0.007206091357594105 0.04817163326939161 0.062
south_american_sea_lion 0.001085668136641571 -0.003423146851292463 0.006327250246068353 0.288
stellers_sea_lion_cl_1 0.002470849554335297 -0.0026110695062286434 0.00838512062751169 0.176
subantarctic_fur_seal_cl_2 5.744690346991543e-4 -0.003029558953574481 0.005128893985991229 0.343
weddell_seal_cl_2 0.0030566472737203476 7.613764737316485e-5 0.006384444159926417 0.026
