species g2 CIlow CIup p_val
antarctic_fur_seal 0.0021572554220730122 -0.001277604591652306 0.006577228364028386 0.022
arctic_ringed_seal 8.254532925520142e-4 -0.0018828930455918377 0.003804593708881936 0.246
atlantic_walrus 0.006908689228250164 -8.534545771537971e-4 0.01611336053664593 0.068
australian_fur_seal 0.012751348700343224 -0.014530554653658965 0.04237531706218656 0.173
baltic_ringed_seal 0.005936383052168814 -0.0051009800145166186 0.02244345413766434 0.155
bearded_seal -0.005570552381315763 -0.01480221565761312 0.004211854354776328 0.849
california_sea_lion -9.140215626768367e-5 -0.00390980793302397 0.0039834374141870625 0.507
crabeater_seal 4.002418822923737e-5 -0.0040443070276669464 0.004970084588704226 0.486
galapagos_fur_seal -0.0014816627823857065 -0.012129126667485971 0.013625322834635203 0.588
galapagos_sea_lion -1.267359219306874e-4 -0.002495792416670347 0.002442044210383642 0.544
grey_seal_orkneys 0.001333628451646085 -0.0030268128634432507 0.005608033402573958 0.255
guadalupe_fur_seal 2.6017585456239445e-4 -0.0034076286471772825 0.0041148303111057435 0.424
harbour_seal_waddensee -0.004614981288395992 -0.01518084288539952 0.006623881784282563 0.781
hawaiian_monk_seal 0.01290770831197352 0.007772410998392596 0.01889726732459319 0.001
hooded_seal -0.0013748283758170388 -0.004796256067197485 0.002381776806466345 0.726
lagoda_ringed_seal 0.0014836795252224366 -0.009216063060555956 0.012258079345150585 0.401
leopard_seal -0.0035258292936500846 -0.007845298717805087 0.0012683001032460335 0.895
mediterranean_monk_seal 0.0741802238277609 0.004234905008218064 0.15780983753839534 0.013
nes 0.006744182313860758 -0.0015423367693307593 0.016766086564080875 0.031
new_zealand_fur_seal -0.002937430892344217 -0.01265454766129711 0.007765938710411442 0.662
new_zealand_sea_lion 9.268236673383168e-4 -0.005317655014601599 0.0075337885772559544 0.335
northern_fur_seal 0.00391097838321719 -0.002395891831119791 0.010203386926209472 0.108
ross_seal 0.01379340543880092 -9.22179304395676e-4 0.028393750910070695 0.01
saimaa_ringed_seal -0.004657973052158426 -0.023420398210916946 0.01700414721192855 0.638
ses 0.001997687490068678 -0.001751931883783567 0.006440647982850504 0.178
south_american_fur_seal 0.015620747456166262 -0.006056431946706573 0.038116494366370886 0.041
south_american_sea_lion 0.001085668136641571 -0.003676235232845859 0.006508058070325395 0.253
stellers_sea_lion 0.0030473952434229012 -0.0017173263476467466 0.007797671162192282 0.087
subantarctic_fur_seal 9.171867457442584e-4 -0.00185658425549198 0.004319435871709936 0.271
weddell_seal 0.0013710498082866174 -0.0010644637876190577 0.0037694337681503484 0.125
