loci	ind	k	runs	elpdmean	elpdsd	elpdmin	elpdmax	lnk1	lnk1max	lnk1min	lnk2	lnk2max	lnk2min	deltaK
7	226	1	5	-4552.74	0.24083189157574	-4553	-4552.5	NA	NA	NA	NA	NA	NA	NA
7	226	2	5	-4522.44	5.59580199792648	-4532.4	-4519.3	30.3000000000002	35.6549701063509	24.9450298936494	155.000000000001	191.551312060526	118.448687939476	27.6993360482441
7	226	3	5	-4647.14	47.5020841648026	-4730	-4611.6	-124.700000000001	-82.7937178331246	-166.606282166877	48.4000000000015	86.801675202478	9.99832479752494	1.01890266187234
7	226	4	5	-4723.44	43.997477200403	-4787.9	-4665.6	-76.2999999999993	-72.7953930355997	-79.8046069643989	48.0600000000013	72.0114671815103	24.1085328184923	1.09233535780004
7	226	5	5	-4847.8	71.4535513463116	-4929.9	-4736.2	-124.360000000001	-96.903925854092	-151.816074145909	174.599999999999	193.182429558323	156.017570441676	2.44354544610066
7	226	6	5	-5146.76	117.492055050544	-5285.8	-4976	-298.96	-252.921496295768	-344.998503704232	166.42	211.861016457416	120.978983542584	1.4164362001193
7	226	7	5	-5279.3	118.08954229736	-5452.6	-5145.2	-132.54	-131.942512753183	-133.137487246817	62.2600000000002	92.2125075918088	32.3074924081916	0.527227041351586
7	226	8	5	-5349.58	148.639537135985	-5562.1	-5172.1	-70.2799999999997	-39.7300051613746	-100.829994838625	91.6999999999998	95.8164027298762	87.5835972701234	0.616928724126115
7	226	9	5	-5328.16	122.205945027237	-5533.7	-5224.4	21.4200000000001	47.8535921087488	-5.01359210874867	128.8	231.536581459238	26.0634185407621	1.05395854490789
7	226	10	5	-5435.54	251.376118595224	-5862.4	-5243.1	-107.38	21.7901735679867	-236.550173567987	NA	NA	NA	NA
