loci	ind	k	runs	elpdmean	elpdsd	elpdmin	elpdmax	lnk1	lnk1max	lnk1min	lnk2	lnk2max	lnk2min	deltaK
12	90	1	5	-3185.9	0.0999999999999091	-3186	-3185.8	NA	NA	NA	NA	NA	NA	NA
12	90	2	5	-3202.52	12.9604012283571	-3221.6	-3187.7	-16.6199999999999	-3.75959877164267	-29.4804012283571	48.6799999999998	54.8626661053024	42.4973338946973	3.75605655583323
12	90	3	5	-3267.82	32.0034685620169	-3300.6	-3214.7	-65.2999999999997	-46.25693266634	-84.3430673336595	85.5999999999995	92.05035097657	79.1496490234289	2.67471008131891
12	90	4	5	-3247.52	57.4968868722472	-3337.6	-3189.4	20.2999999999997	45.79341831023	-5.19341831023058	123.5	162.387572219453	84.6124277805465	2.14794237946143
12	90	5	5	-3350.72	121.877877401931	-3502.1	-3191.2	-103.2	-38.8190094703165	-167.580990529683	108.579999999999	157.922445772617	59.2375542273822	0.890891787046166
12	90	6	5	-3345.34	106.839332644864	-3503	-3243.5	5.37999999999965	20.4185447570657	-9.65854475706639	88.4800000000005	142.599864332238	34.3601356677626	0.828159422280456
12	90	7	5	-3251.48	37.6809235555605	-3281.9	-3188.4	93.8600000000001	163.018409089304	24.7015909106962	116.32	125.111038422068	107.528961577932	3.08697316902242
12	90	8	5	-3273.94	98.0482942227962	-3402.8	-3189.1	-22.46	37.9073706672356	-82.8273706672357	47.6400000000003	86.0199599523244	9.26004004767625	0.485883006712462
12	90	9	5	-3248.76	76.0608835078846	-3376.6	-3197.9	25.1800000000003	47.1674107149119	3.19258928508869	7.40000000000055	10.9390093051715	3.86099069482956	0.0972904817656167
12	90	10	5	-3230.98	50.534463487802	-3287.6	-3184.6	17.7799999999997	43.3064200200823	-7.74642002008284	NA	NA	NA	NA
