loci	ind	k	runs	elpdmean	elpdsd	elpdmin	elpdmax	lnk1	lnk1max	lnk1min	lnk2	lnk2max	lnk2min	deltaK
14	150	1	5	-7560.44	0.288097205817828	-7560.8	-7560	NA	NA	NA	NA	NA	NA	NA
14	150	2	5	-7631.38	49.369545268313	-7690	-7573	-70.9400000000005	-21.8585519375053	-120.021448062496	15.4800000000005	45.8474196878218	-14.8874196878209	0.313553627360146
14	150	3	5	-7686.84	68.0835736429868	-7787.3	-7602	-55.46	-36.7459716253262	-74.1740283746739	22.3000000000002	123.92727691291	-79.3272769129092	0.327538623588353
14	150	4	5	-7720	188.42487893057	-8054	-7609.1	-33.1599999999999	87.1813052875834	-153.501305287583	246.28	289.836782674441	202.723217325559	1.30704608328685
14	150	5	5	-7999.44	352.322966892594	-8424.5	-7586.4	-279.44	-115.541912037975	-443.338087962024	431.999999999999	502.142320772842	361.857679227157	1.2261477127368
14	150	6	5	-7846.88	446.078734081776	-8637	-7594.8	152.559999999999	246.315767189181	58.8042328108177	587.079999999999	600.78267069049	573.377329309508	1.3160905354712
14	150	7	5	-8281.4	338.620296202103	-8647.7	-7913.8	-434.52	-327.061562120327	-541.978437879672	129.299999999998	240.587184323716	18.0128156762805	0.381843620864434
14	150	8	5	-8586.62	557.365918405494	-9519.4	-8016.7	-305.220000000001	-86.4743777966105	-523.965622203392	660.180000000002	735.369820880602	584.990179119403	1.18446424189092
14	150	9	5	-8231.66	413.810117082703	-8724.1	-7629.8	354.960000000001	498.515801322792	211.40419867721	630.08	734.040046607222	526.119953392778	1.5226307284171
14	150	10	5	-8506.78	661.325965012716	-8996	-7607.4	-275.119999999999	-27.6041520699857	-522.635847930012	NA	NA	NA	NA
