title harbour seal																												
Aa4																												
Hg6.1																												
Hg6.3																												
Hg8.9																												
Hg8.10																												
Hgdii																												
Hl2																												
Hl15																												
Hl20																												
Lw7																												
Lw20																												
Lc28																												
M11a																												
OrrFCB2																												
OrrFCB7																												
OrrFCB8																												
Pv2																												
Pv3																												
Pv9																												
Pv10																												
Pv11																												
Pvc30																												
Ssl301																												
Zcwa12																												
Zcwd02																												
Zcwf07																												
ZcCgDh1.8																												
31	,	3030	6060	2030	2020	2050	3030	2020	7070	3040	2060	2030	5050	2020	3060	3060	3050	3030	6268	2020	2020	3060	2020	2020	3040	2020	2020	4040
32	,	3030	5060	2030	2020	2050	3030	2020	7070	3030	5060	3030	5050	2020	3030	3060	3050	3040	5971	2020	2020	3060	2020	2050	4040	2020	2020	4040
33	,	0000	6060	3030	0000	5050	3030	2030	7070	3030	5060	2030	4050	2020	4060	3060	3050	3030	5762	2020	2020	3030	2050	2020	4040	2020	2020	2040
34	,	3030	6060	3030	2020	2050	3030	2030	7070	3030	5060	2030	5050	2020	3060	3030	3050	3030	6263	2020	2030	6060	2020	2030	4040	2020	2040	4040
35	,	3030	6060	2020	2030	5050	3030	2020	8080	3030	3050	3030	5050	2020	3030	3060	3030	3030	5961	2020	2020	3060	2020	2050	4040	2020	2020	4040
36	,	3030	6060	2030	2030	2050	3030	3030	7070	3030	5050	3030	5050	2020	3060	3030	3050	3030	5858	2020	2020	3060	2050	2060	4040	2020	2020	4040
37	,	3030	6060	2020	2020	5050	3030	2030	7070	3040	2060	2030	5050	2020	3060	3060	5050	3030	5960	2020	2020	3060	2050	3030	4040	2020	2020	4040
38	,	3030	6060	2030	2020	5050	3030	2020	7070	3030	2050	3030	4050	2020	3030	3060	5050	0000	5964	2020	2020	6060	2020	2020	4040	2020	2020	2020
39	,	0000	6060	2030	0000	0000	3030	0000	7070	0000	0000	0000	0000	2020	3030	0000	0000	3030	0000	2020	2020	0000	2020	0000	0000	0000	0000	0000
40	,	3030	6060	3030	2020	2050	3030	2030	7070	4040	5050	2020	5050	2020	3030	3060	3050	3030	6769	2020	2020	2030	2020	2040	4040	2020	2040	4040
41	,	3030	6060	2030	2020	2020	3030	2030	7070	3030	2060	2030	5050	2020	3030	3030	5050	3030	6069	2020	2020	3060	2050	2050	4040	2020	2020	4040
42	,	3030	6060	2030	2020	2050	3030	2020	7080	3030	2060	2020	5050	2020	3060	6060	5050	3030	6062	2030	2020	6060	2050	5050	4040	2020	0000	4040
43	,	3030	6060	2020	2020	5050	3030	3030	7070	3030	6070	2030	5050	2020	6060	3030	5050	3030	5263	2020	2020	3060	2050	2050	2030	2020	4050	2040
44	,	3030	6060	3030	2020	2050	3030	2020	7070	3040	5060	3030	5050	2020	4060	3060	5050	3030	5966	2020	2020	6060	2050	0000	4040	2020	2020	4040
45	,	3030	5060	2030	2020	2020	3030	2020	7070	3040	5050	2030	5050	2020	3060	6060	3050	3030	5569	2020	2020	3060	2050	2050	2040	2020	2020	4040
46	,	3030	6060	3030	2020	2050	3030	2030	7070	3030	2050	2030	0000	2020	3060	3060	5050	3030	5862	2020	2020	3060	2050	0000	4040	0000	0000	0000
47	,	3030	6060	3030	2020	2050	3030	2030	7070	3040	0000	2020	5050	2020	3030	6060	5050	2040	5969	2020	2020	3060	2020	0000	3050	2020	2020	4040
