title grey seals all colonies										
Hg4_2										
Hg6_1										
Hg6_3										
Hg8_9										
Hg8_1										
Pv9										
Pv11										
Pop										
106	,	5153	6262	7575	5967	3539	6666	6868		
107	,	5161	6264	7375	5967	4147	6272	6668		
108	,	3951	6464	7375	4959	0000	6060	6668		
109	,	5153	6264	7375	6167	3349	6064	6070		
110	,	5151	6464	7173	6163	3349	6470	6868		
111	,	5151	6262	7177	5157	0000	6266	6066		
112	,	5151	6266	7375	4959	3941	6672	6466		
113	,	5151	5064	7175	6163	3939	6472	6668		
114	,	5153	6464	7379	0000	0000	6264	6668		
115	,	5151	6262	7173	5959	3339	6464	6870		
116	,	5153	6264	7579	5961	3739	6272	6668		
117	,	3951	6262	7379	6363	4147	6472	6668		
118	,	5157	6264	7575	4965	0000	6266	6668		
119	,	5353	6262	7375	6363	0000	6264	6670		
120	,	5151	5664	6971	5961	0000	6464	6666		
121	,	5157	0000	0000	0000	0000	0000	6470		
122	,	0000	0000	7375	0000	0000	6064	6668		
123	,	5151	6264	7375	6365	0000	6064	6072		
124	,	0000	6264	0000	0000	3541	6464	6870		
125	,	5151	6266	7173	5153	0000	6266	6870		
126	,	5151	5664	7579	5357	3537	6472	6666		
127	,	5157	6264	7175	5963	3939	6472	6268		
128	,	5359	6262	7373	6161	3939	6670	6870		
129	,	5151	6264	7177	5555	3739	6466	6668		
130	,	3957	6262	7175	6163	3739	6070	6068		
131	,	5151	6062	7377	6367	3947	6466	6670		
132	,	5161	6264	7577	5161	3941	6264	6870		
133	,	5153	5062	7179	5961	3939	6264	6468		
134	,	5765	6064	7373	5961	3939	6468	6868		
135	,	5157	6262	7373	5767	4351	6270	6666		
136	,	5153	6062	7377	5759	3943	6266	6868		
137	,	5153	6464	7379	5567	3541	6064	6668		
138	,	0000	0000	7377	4961	0000	6064	6868		
139	,	5151	0000	0000	0000	0000	6464	6870		
140	,	5757	6264	7173	5963	3939	6270	6870		
141	,	3953	6464	7177	5963	3951	6668	6868		
142	,	5151	6262	6979	5565	3541	6464	6668		
143	,	5157	5662	7379	5163	3541	6466	6070		
144	,	5361	6062	7375	6565	3541	6262	6668		
145	,	0000	6062	7373	6367	3941	6272	6872		
146	,	5151	0000	6973	4959	0000	6272	6670		
147	,	5151	6262	7575	5959	3939	6668	6868		
148	,	5153	6064	7375	4963	3545	6470	6668		
149	,	0000	6264	7177	5967	3335	6668	6670		
150	,	5151	6264	7175	5963	3537	7072	6464		
151	,	0000	6262	7179	4963	3739	6266	6668		
152	,	5159	6464	7173	6161	4143	6062	6668		
153	,	0000	6262	7575	4961	3941	6270	6870		
154	,	5157	5062	7177	6165	3945	6670	6668		
155	,	5357	6262	7373	5759	3739	6262	6068		
