.id,IAM_Heq,IAM_Def.Exc,IAM_Sign,IAM_Stand_Diff,IAM_Wilc_Def,IAM_Wilc_Exc,IAM_Wilc_2Tail,TPM70_Heq,TPM70_Def.Exc,TPM70_Sign,TPM70_Stand_Diff,TPM70_Wilc_Def,TPM70_Wilc_Exc,TPM70_Wilc_2Tail,SMM_Heq,SMM_Def.Exc,SMM_Sign,SMM_Stand_Diff,SMM_Wilc_Def,SMM_Wilc_Exc,SMM_Wilc_2Tail,Mode_Shift,TPM80_Heq,TPM80_Def.Exc,TPM80_Sign,TPM80_Stand_Diff,TPM80_Wilc_Def,TPM80_Wilc_Exc,TPM80_Wilc_2Tail,TPM90_Heq,TPM90_Def.Exc,TPM90_Sign,TPM90_Stand_Diff,TPM90_Wilc_Def,TPM90_Wilc_Exc,TPM90_Wilc_2Tail
harbour_seal_waddensee_cl_1_HW,   7.01,2  vs 11, 0.02174,  0.03631, 0.99573, 0.01074, 0.02148,   7.47,7  vs 6, 0.29047,  0.40047, 0.41968, 0.60657, 0.83936,   7.50,12  vs 1, 0.00025,  0.00000, 0.00201, 0.99847, 0.00403,normal L-shaped distribution,   7.50,8  vs 5, 0.13010,  0.18363, 0.20715, 0.81213, 0.41431,   7.48,10  vs 3, 0.01235,  0.02478, 0.04712, 0.95984, 0.09424
hawaiian_monk_seal_HW,   7.53,1  vs 16, 0.00002,  0.00000, 0.99998, 0.00003, 0.00005,   8.51,2  vs 15, 0.00096,  0.00093, 0.99808, 0.00232, 0.00464,   9.12,9  vs 8, 0.37662,  0.25809, 0.64405, 0.37333, 0.74666,normal L-shaped distribution,   8.74,4  vs 13, 0.02948,  0.00538, 0.99605, 0.00467, 0.00934,   8.94,4  vs 13, 0.03664,  0.05034, 0.98023, 0.02238, 0.04477
hooded_seal_HW,   7.81,2  vs 11, 0.05882,  0.02601, 0.97607, 0.02869, 0.05737,   7.69,8  vs 5, 0.10928,  0.02531, 0.20715, 0.81213, 0.41431,   7.59,12  vs 1, 0.00022,  0.00000, 0.00018, 0.99988, 0.00037,normal L-shaped distribution,   7.67,9  vs 4, 0.03797,  0.00090, 0.06360, 0.94507, 0.12720,   7.63,9  vs 4, 0.03987,  0.00000, 0.01636, 0.98669, 0.03271
lagoda_ringed_seal_HW,   9.57,6  vs 10, 0.52089,  0.26636, 0.93513, 0.07193, 0.14386,   9.56,8  vs 8, 0.29072,  0.05345, 0.17419, 0.83875, 0.34839,   9.51,13  vs 3, 0.00109,  0.00000, 0.00459, 0.99619, 0.00919,normal L-shaped distribution,   9.56,8  vs 8, 0.29108,  0.01668, 0.12611, 0.88440, 0.25223,   9.55,10  vs 6, 0.06153,  0.00167, 0.04672, 0.95837, 0.09344
lagoda_ringed_seal_cl_1_HW,  10.12,5  vs 12, 0.25078,  0.23783, 0.90495, 0.10345, 0.20689,  10.11,9  vs 8, 0.21150,  0.09525, 0.33885, 0.67793, 0.67770,  10.05,12  vs 5, 0.01291,  0.00002, 0.01008, 0.99129, 0.02016,normal L-shaped distribution,  10.26,11  vs 6, 0.03258,  0.03592, 0.12175, 0.88766, 0.24350,  10.22,12  vs 5, 0.01023,  0.00646, 0.10345, 0.90495, 0.20689
leopard_seal_HW,   7.17,3  vs 9, 0.21964,  0.04712, 0.97388, 0.03198, 0.06396,   7.08,8  vs 4, 0.06635,  0.05926, 0.11670, 0.89819, 0.23340,   7.01,10  vs 2, 0.00394,  0.00000, 0.00061, 0.99963, 0.00122,normal L-shaped distribution,   7.07,8  vs 4, 0.06679,  0.00637, 0.07568, 0.93530, 0.15137,   7.05,9  vs 3, 0.01913,  0.00003, 0.00671, 0.99475, 0.01343
mediterranean_monk_seal_HW,   6.50,5  vs 9, 0.13999,  0.00484, 0.98523, 0.01764, 0.03528,   7.10,6  vs 8, 0.41557,  0.08549, 0.87939, 0.13379, 0.26758,   7.45,6  vs 8, 0.49079,  0.31271, 0.57239, 0.45160, 0.90320,normal L-shaped distribution,   7.20,6  vs 8, 0.43776,  0.15265, 0.83710, 0.17877, 0.35754,   7.30,6  vs 8, 0.45961,  0.30703, 0.74921, 0.27081, 0.54163
nes_HW,  13.47,3  vs 29, 0.00000,  0.00000, 1.00000, 0.00000, 0.00000,  15.01,3  vs 29, 0.00000,  0.00000, 1.00000, 0.00000, 0.00000,  16.27,6  vs 26, 0.00031,  0.00063, 0.99996, 0.00005, 0.00009,normal L-shaped distribution,  15.40,4  vs 28, 0.00000,  0.00000, 1.00000, 0.00000, 0.00000,  15.86,4  vs 28, 0.00001,  0.00003, 1.00000, 0.00000, 0.00001
nes_cl_2_HW,  12.95,3  vs 28, 0.00000,  0.00000, 1.00000, 0.00000, 0.00000,  14.41,3  vs 28, 0.00000,  0.00000, 1.00000, 0.00000, 0.00000,  15.42,5  vs 26, 0.00007,  0.00010, 0.99999, 0.00001, 0.00002,normal L-shaped distribution,  14.75,3  vs 28, 0.00000,  0.00000, 1.00000, 0.00000, 0.00000,  15.11,4  vs 27, 0.00001,  0.00001, 1.00000, 0.00000, 0.00000
new_zealand_fur_seal_HW,   6.53,3  vs 8, 0.28148,  0.00505, 0.99756, 0.00342, 0.00684,   6.51,3  vs 8, 0.27620,  0.25091, 0.79346, 0.23242, 0.46484,   6.47,6  vs 5, 0.27314,  0.00101, 0.12012, 0.89697, 0.24023,normal L-shaped distribution,   6.49,3  vs 8, 0.27257,  0.42597, 0.76758, 0.25977, 0.51953,   6.50,4  vs 7, 0.50756,  0.25548, 0.58447, 0.44922, 0.89844
