id pop L_Hg14 L_Hg37 L_M11a L_M2b L_Hg42 L_Hg810 L_Hg63 L_Pv11
BOG_019 Bogoslof_Island 394/394 166/170 91/99 152/158 191/197 NA NA 394/394
BOG_020 Bogoslof_Island 380/394 172/182 99/113 160/164 189/191 236/242 160/160 380/394
BOG_021 Bogoslof_Island 388/394 168/172 87/99 156/156 187/199 238/238 160/160 388/394
BOG_022 Bogoslof_Island 382/392 160/172 107/115 158/164 197/205 236/240 160/160 382/392
BOG_023 Bogoslof_Island 380/394 168/178 101/103 164/166 195/197 230/234 160/160 380/394
BOG_024 Bogoslof_Island 382/394 166/170 87/97 158/162 185/191 228/238 160/160 382/394
BOG_025 Bogoslof_Island 380/380 170/172 103/117 NA NA 234/240 160/160 380/380
BOG_026 Bogoslof_Island 392/394 178/180 87/115 156/160 195/197 228/232 156/160 392/394
BOG_027 Bogoslof_Island 380/394 166/172 95/117 160/166 187/193 230/238 160/188 380/394
BOG_028 Bogoslof_Island 380/394 172/172 115/121 134/164 185/185 230/240 160/160 380/394
BOG_029 Bogoslof_Island 380/382 168/184 85/91 134/166 195/197 230/234 160/160 380/382
BOG_030 Bogoslof_Island 382/382 172/174 91/91 160/160 187/189 234/234 160/180 382/382
BOG_031 Bogoslof_Island 380/392 168/176 99/113 162/162 187/191 234/234 160/160 380/392
BOG_032 Bogoslof_Island 382/394 162/162 103/117 154/160 189/197 236/238 160/160 382/394
BOG_033 Bogoslof_Island 380/380 162/182 91/99 158/158 187/189 242/250 160/160 380/380
BOG_034 Bogoslof_Island 380/394 164/166 99/115 140/156 185/193 228/242 160/160 380/394
BOG_035 Bogoslof_Island 380/395 166/168 91/99 160/166 185/199 238/240 184/184 380/395
BOG_036 Bogoslof_Island 380/382 174/182 113/117 142/160 187/197 230/236 160/160 380/382
BOG_037 Bogoslof_Island 394/396 168/176 91/115 160/160 193/197 230/234 160/160 394/396
BOG_038 Bogoslof_Island 380/395 162/172 99/99 134/160 185/199 234/234 160/160 380/395
BOG_039 Bogoslof_Island 386/394 168/180 91/99 144/158 195/197 236/246 156/160 386/394
BOG_040 Bogoslof_Island 384/386 174/178 85/115 156/158 185/187 228/228 160/160 384/386
BOG_041 Bogoslof_Island 394/398 178/178 91/107 144/160 185/201 228/244 160/160 394/398
BOG_042 Bogoslof_Island 380/392 160/172 99/101 162/164 197/197 234/238 160/160 380/392
BOG_043 Bogoslof_Island 380/394 172/172 91/99 140/160 193/197 232/250 160/160 380/394
BOG_044 Bogoslof_Island 382/392 172/172 91/101 140/166 185/187 236/236 160/160 382/392
BOG_045 Bogoslof_Island 380/382 164/176 99/115 160/162 199/201 228/234 160/160 380/382
BOG_046 Bogoslof_Island 382/392 174/178 91/95 142/142 189/199 234/242 160/176 382/392
BOG_047 Bogoslof_Island 391/394 170/172 93/115 156/162 187/195 236/240 160/160 391/394
BOG_048 Bogoslof_Island 380/380 168/172 103/103 158/166 185/193 232/242 160/160 380/380
BOG_049 Bogoslof_Island 386/394 162/182 101/103 154/160 191/191 230/238 160/174 386/394
BOG_050 Bogoslof_Island 381/396 166/168 93/107 158/166 195/195 232/236 160/160 381/396
BOG_051 Bogoslof_Island 380/392 164/186 115/117 156/158 187/197 232/238 160/184 380/392
BOG_052 Bogoslof_Island 380/382 172/178 87/117 150/156 199/199 230/238 160/160 380/382
BOG_053 Bogoslof_Island 382/394 168/178 99/113 156/160 185/189 238/242 188/188 382/394
BOG_054 Bogoslof_Island 381/382 172/178 99/127 160/164 193/193 230/240 160/160 381/382
BOG_055 Bogoslof_Island 388/392 174/174 85/123 160/164 191/195 230/238 160/176 388/392
BOG_056 Bogoslof_Island 380/398 168/178 103/103 158/160 185/199 234/238 160/160 380/398
BOG_057 Bogoslof_Island 390/394 174/176 93/115 156/162 187/191 230/236 160/160 390/394
BOG_058 Bogoslof_Island 380/382 168/172 87/103 158/160 193/197 230/234 160/160 380/382
BOG_059 Bogoslof_Island 392/392 168/172 91/97 134/166 197/201 228/234 160/160 392/392
BOG_060 Bogoslof_Island 380/394 162/178 87/113 158/162 185/197 236/236 160/160 380/394
BOG_061 Bogoslof_Island 380/382 168/172 101/117 142/160 185/189 230/236 160/176 380/382
BOG_062 Bogoslof_Island 380/382 158/180 95/103 142/156 187/199 234/234 160/160 380/382
BOG_063 Bogoslof_Island 380/386 166/178 97/111 138/158 193/193 236/238 160/160 380/386
BOG_064 Bogoslof_Island 380/392 158/164 103/115 144/148 181/193 234/238 156/160 380/392
BOG_065 Bogoslof_Island 380/382 168/176 105/121 142/156 187/193 228/236 160/160 380/382
BOG_066 Bogoslof_Island 380/390 162/182 91/107 160/162 185/187 238/240 160/178 380/390
BOG_067 Bogoslof_Island 380/392 168/176 91/105 160/164 189/197 240/246 178/184 380/392
BOG_068 Bogoslof_Island 378/380 170/178 99/113 134/156 177/185 238/240 160/160 378/380
BOG_069 Bogoslof_Island 380/382 166/168 99/105 158/162 185/185 232/244 160/184 380/382
BOG_070 Bogoslof_Island 380/394 168/180 95/97 NA NA NA NA 380/394
BOG_071 Bogoslof_Island 388/394 162/172 99/117 162/164 187/199 234/244 160/160 388/394
BOG_072 Bogoslof_Island 380/382 168/176 115/123 134/160 185/195 232/240 160/182 380/382
BOG_073 Bogoslof_Island 382/384 174/178 99/113 156/156 191/195 234/234 160/160 382/384
