id pop L_Hg14 L_Hg23 L_Hg36 L_Hg42 L_Hg610 L_Hg89 L_Hg810 L_Hgdii L_Hgl15 L_Pvc19 L_Pvc26 L_Pvc30 L_Pvc78 L_SGPv9 L_SGPv10 L_SGPv11 L_SGPv16
1234_M_H_y1986 Lake_Saimaa 124/124 100/100 134/161 152/152 202/202 186/186 200/200 137/167 118/118 109/109 171/171 149/149 161/161 133/145 156/169 123/123 124/124
1262_M_H_y1988 Lake_Saimaa 114/124 100/100 161/161 152/152 200/202 186/188 200/200 137/137 118/118 109/109 171/181 149/149 161/161 133/145 157/169 123/123 114/124
1265_F_H_y1988 Lake_Saimaa 124/124 100/100 134/134 152/152 202/202 186/186 200/200 137/163 118/118 109/109 171/171 149/149 161/171 133/133 157/169 119/123 124/124
1270_F_H_y1988 Lake_Saimaa 124/124 104/104 134/161 152/152 200/200 186/186 200/200 137/155 112/118 103/109 171/181 149/149 161/161 145/145 156/156 123/123 124/124
1313_M_H_y1990 Lake_Saimaa 124/124 100/100 161/161 152/152 202/202 186/188 200/200 129/153 118/118 109/111 171/181 149/149 161/171 133/145 156/156 119/123 124/124
1328_F_H_y1991 Lake_Saimaa 124/124 100/100 134/134 152/152 200/202 186/188 200/200 137/153 118/118 109/111 171/171 149/149 161/161 133/133 156/157 123/123 124/124
1394_M_H_y1991 Lake_Saimaa 124/124 100/100 134/161 152/152 202/202 186/186 200/200 137/151 118/118 109/111 171/181 149/149 161/171 133/133 157/169 123/123 124/124
1418_M_H_y1993 Lake_Saimaa 124/124 100/104 161/161 152/152 202/202 186/186 200/200 129/153 112/118 109/111 171/181 149/149 161/171 133/145 156/156 119/123 124/124
1423_M_H_y1993 Lake_Saimaa 124/124 100/100 134/161 152/152 202/202 186/186 200/200 153/167 118/118 109/111 171/181 149/149 161/161 133/133 156/157 123/123 124/124
1425_F_H_y1993 Lake_Saimaa 114/124 104/104 161/161 152/152 200/202 186/186 200/200 133/137 118/118 109/109 171/181 149/149 161/161 133/145 157/169 123/123 114/124
1426_M_H_y1992 Lake_Saimaa 114/124 98/100 161/161 152/152 200/200 186/188 200/200 137/159 118/118 109/109 171/181 149/149 161/161 133/145 157/169 123/123 114/124
1431_F_H_y1993 Lake_Saimaa 124/124 98/104 134/161 152/152 202/202 186/186 200/200 137/137 118/118 109/109 171/181 149/149 161/161 145/145 157/169 123/123 124/124
1485_M_H_y1994 Lake_Saimaa 124/124 100/100 134/161 152/152 202/202 186/186 200/200 137/155 118/118 109/109 171/179 149/149 161/161 133/145 157/169 123/123 124/124
1559_M_H_y1995 Lake_Saimaa 124/124 100/100 134/161 152/152 202/202 186/186 200/200 137/137 118/118 109/111 171/171 149/149 161/171 133/133 156/157 123/123 124/124
1561_F_H_y1995 Lake_Saimaa 124/124 100/104 134/161 152/152 200/202 186/188 200/200 137/139 118/118 109/109 171/171 149/149 161/161 133/145 156/157 123/123 124/124
1563_M_H_y1995 Lake_Saimaa 124/124 98/100 134/161 152/152 202/202 186/188 200/200 137/137 118/118 109/109 181/181 149/149 161/161 133/145 156/169 123/123 124/124
1686_F_H_y1996 Lake_Saimaa 124/124 100/100 161/161 152/152 200/200 186/186 200/200 137/155 118/118 109/109 179/181 149/149 161/171 145/145 157/157 123/123 124/124
1956_M_H_y1997 Lake_Saimaa 124/124 100/104 161/161 152/152 200/202 186/186 200/200 137/167 118/118 109/109 171/181 149/149 161/171 133/145 157/169 123/123 124/124
1983_M_H_y1997 Lake_Saimaa 124/124 104/104 161/161 152/152 194/200 186/186 200/200 137/137 118/118 109/109 171/171 149/149 161/161 133/145 157/169 123/123 124/124
