id pop L_Hg14 L_Hg37 L_M11a L_M2b L_Hg42 L_Hg810 L_Hg63 L_Pv11
LOV_002 Lovushki_Island 380/382 168/174 91/103 158/162 NA 234/234 160/184 380/382
LOV_008 Lovushki_Island 392/394 172/182 103/117 160/162 NA 228/236 160/160 392/394
LOV_009 Lovushki_Island 380/392 174/178 99/105 144/162 191/195 238/238 160/184 380/392
LOV_010 Lovushki_Island 382/394 176/178 103/117 158/164 NA 238/240 160/160 382/394
MED_002 Medny_Island NA NA 87/91 160/162 NA NA 160/160 NA
MED_005 Medny_Island NA NA 99/103 NA NA NA NA NA
MED_006 Medny_Island NA 160/172 115/117 NA NA NA NA NA
MED_007 Medny_Island 386/394 NA NA 142/166 NA NA 156/160 386/394
MED_009 Medny_Island 380/384 NA 103/113 158/160 NA 236/246 160/174 380/384
MED_011 Medny_Island 380/380 170/170 99/117 152/156 NA NA 160/160 380/380
MED_013 Medny_Island NA NA 103/107 134/160 185/191 NA NA NA
MED_014 Medny_Island NA 168/170 107/113 160/166 177/183 230/236 160/178 NA
MED_015 Medny_Island NA NA NA NA NA 232/234 160/160 NA
MED_017 Medny_Island NA NA NA 158/164 191/201 NA NA NA
MED_019 Medny_Island NA NA 115/115 156/168 NA NA 160/160 NA
MED_021 Medny_Island 382/386 168/168 91/93 140/158 185/189 236/240 160/160 382/386
MED_022 Medny_Island NA NA NA 134/142 175/193 234/236 160/160 NA
MED_024 Medny_Island 380/382 174/182 99/107 156/156 199/199 234/234 160/174 380/382
MED_025 Medny_Island 382/386 174/182 91/103 142/160 185/187 234/238 176/176 382/386
MED_027 Medny_Island NA NA 117/125 NA NA NA NA NA
MED_029 Medny_Island NA NA 97/117 156/158 189/195 234/248 160/160 NA
MED_031 Medny_Island NA 172/176 91/99 140/160 177/191 230/242 160/160 NA
MED_034 Medny_Island 382/394 166/168 91/103 160/164 NA 234/236 160/160 382/394
MED_041 Medny_Island 380/392 162/170 113/115 142/160 177/185 230/238 160/160 380/392
MED_042 Medny_Island 392/394 166/168 99/99 134/156 185/189 234/240 160/160 392/394
MED_043 Medny_Island NA NA NA 158/158 NA NA 160/160 NA
MED_045 Medny_Island NA 162/172 103/117 142/142 183/195 228/228 160/178 NA
MED_046 Medny_Island 380/386 164/178 85/99 150/160 179/201 228/238 160/178 380/386
MED_048 Medny_Island 380/392 172/176 115/117 162/166 187/195 234/236 160/160 380/392
MED_050 Medny_Island 394/396 168/172 87/95 142/160 NA 230/232 NA 394/396
MED_051 Medny_Island 380/388 170/172 91/93 160/172 191/205 238/242 160/160 380/388
ROB_003 Robben_Island 382/382 158/178 93/97 142/164 193/201 236/242 160/160 382/382
ROB_004 Robben_Island 392/392 166/178 99/117 142/160 187/199 232/238 156/160 392/392
ROB_005 Robben_Island 380/380 172/174 87/91 154/162 191/193 236/238 160/160 380/380
ROB_007 Robben_Island 380/386 172/182 103/115 142/160 183/189 236/242 160/160 380/386
ROB_008 Robben_Island 382/382 166/174 107/117 140/162 185/187 NA 160/160 382/382
ROB_011 Robben_Island 382/394 166/186 93/97 134/160 197/197 228/234 160/160 382/394
ROB_012 Robben_Island 392/394 166/178 99/125 148/158 187/193 236/236 160/160 392/394
ROB_015 Robben_Island 388/394 166/178 91/103 160/170 185/201 236/236 160/172 388/394
ROB_021 Robben_Island NA 178/178 85/95 158/166 185/187 238/240 160/160 NA
ROB_022 Robben_Island 380/392 168/170 99/99 148/160 195/197 234/236 160/160 380/392
ROB_023 Robben_Island NA NA NA 160/166 195/201 236/238 160/160 NA
ROB_026 Robben_Island 394/394 162/172 93/107 162/166 187/199 236/240 160/160 394/394
ROB_027 Robben_Island 388/392 162/172 105/107 156/162 197/197 240/242 160/160 388/392
ROB_028 Robben_Island 394/398 168/168 101/107 134/160 185/187 234/236 160/160 394/398
ROB_029 Robben_Island 392/394 158/168 103/117 160/160 185/191 230/234 160/160 392/394
ROB_030 Robben_Island 388/392 162/176 95/117 158/160 195/197 232/238 160/172 388/392
ROB_031 Robben_Island 380/384 162/164 99/115 158/162 187/197 230/238 160/188 380/384
ROB_032 Robben_Island 392/394 178/182 97/101 140/158 193/195 228/246 160/184 392/394
ROB_034 Robben_Island 380/386 158/162 91/123 158/160 189/197 238/240 160/160 380/386
ROB_036 Robben_Island 380/384 168/176 99/99 160/162 195/199 234/238 160/160 380/384
ROB_039 Robben_Island 380/380 166/178 87/95 148/160 185/185 228/238 160/176 380/380
ROB_042 Robben_Island 382/384 172/182 91/95 162/170 181/185 236/238 160/160 382/384
ROB_043 Robben_Island 392/394 172/174 99/125 140/158 185/189 232/238 160/160 392/394
ROB_044 Robben_Island 382/394 164/168 91/91 156/162 179/189 234/236 160/176 382/394
ROB_045 Robben_Island 382/394 168/172 99/101 156/164 179/189 234/242 160/160 382/394
ROB_046 Robben_Island 382/394 162/166 97/105 142/162 191/195 236/236 160/160 382/394
ROB_047 Robben_Island 394/396 168/172 91/99 134/166 185/195 240/242 160/160 394/396
ROB_048 Robben_Island NA 174/174 103/115 156/162 185/199 234/238 160/160 NA
SMI_002 San_Miguel_Island 392/394 160/172 99/99 160/160 189/195 230/238 160/178 392/394
SMI_004 San_Miguel_Island 382/394 168/172 107/117 144/164 185/187 238/240 160/184 382/394
SMI_005 San_Miguel_Island 382/386 164/168 85/111 150/162 195/197 234/234 160/160 382/386
SMI_006 San_Miguel_Island 384/396 166/174 91/111 158/160 197/201 NA 160/160 384/396
SMI_012 San_Miguel_Island 380/394 168/174 87/91 160/162 193/199 228/238 160/160 380/394
SMI_013 San_Miguel_Island 380/398 164/184 105/117 156/158 185/187 234/234 160/160 380/398
SMI_014 San_Miguel_Island 392/394 162/172 95/107 158/160 195/195 236/242 160/160 392/394
SMI_015 San_Miguel_Island 386/394 176/182 91/115 160/162 197/199 234/236 160/184 386/394
SMI_016 San_Miguel_Island 396/396 166/176 99/103 156/160 185/193 234/238 156/160 396/396
SMI_017 San_Miguel_Island 390/392 168/186 91/97 160/166 189/193 234/234 160/174 390/392
SMI_020 San_Miguel_Island 380/394 174/186 91/115 156/156 185/191 232/234 160/160 380/394
SMI_025 San_Miguel_Island 380/392 168/170 87/117 142/158 193/205 234/234 160/184 380/392
SMI_028 San_Miguel_Island 382/386 174/178 87/91 142/160 189/193 NA 160/160 382/386
SMI_042 San_Miguel_Island NA NA NA NA 185/185 236/238 160/178 NA
SMI_060 San_Miguel_Island NA 168/182 91/107 156/158 NA NA 160/160 NA
SMI_068 San_Miguel_Island 380/392 162/174 99/107 142/158 179/185 NA 160/160 380/392
SMI_069 San_Miguel_Island NA 168/168 99/107 154/166 185/191 NA 160/160 NA
SNG_002 St_George_Island 382/394 162/178 97/125 160/160 193/195 234/236 160/160 382/394
SNG_005 St_George_Island 382/392 174/178 95/113 160/160 185/199 228/238 160/160 382/392
SNG_006 St_George_Island 380/388 166/174 91/95 156/166 189/195 236/248 160/160 380/388
SNG_011 St_George_Island 382/396 168/178 91/103 134/140 183/183 236/242 160/176 382/396
SNG_012 St_George_Island 382/390 166/178 107/117 164/164 183/193 228/236 160/186 382/390
SNG_013 St_George_Island 380/394 166/168 85/103 156/166 195/205 234/238 160/160 380/394
SNG_015 St_George_Island 382/394 152/172 91/103 150/160 193/195 234/246 160/160 382/394
SNG_017 St_George_Island 388/395 174/174 91/115 140/160 185/205 234/238 160/160 388/395
SNG_018 St_George_Island 380/388 168/168 91/99 160/160 191/195 230/234 160/160 380/388
SNG_020 St_George_Island 386/392 172/172 107/109 140/158 185/197 234/240 160/184 386/392
SNG_022 St_George_Island 384/384 NA 87/117 152/160 195/195 230/236 160/160 384/384
SNG_025 St_George_Island 382/384 166/172 99/99 140/160 197/197 238/238 160/160 382/384
SNG_026 St_George_Island 380/394 170/174 103/123 148/156 183/193 234/242 160/160 380/394
SNG_027 St_George_Island 388/392 174/174 91/91 152/158 181/191 234/238 160/184 388/392
SNG_030 St_George_Island 382/394 174/174 99/99 142/144 185/193 230/234 160/184 382/394
SNG_031 St_George_Island 380/388 170/172 91/103 148/160 191/193 234/238 160/160 380/388
SNG_033 St_George_Island 394/396 168/174 99/115 142/156 185/199 230/234 160/176 394/396
SNG_034 St_George_Island 380/394 168/176 85/103 148/166 NA 234/236 160/160 380/394
SNG_035 St_George_Island 384/392 158/172 85/115 162/168 189/195 236/236 160/160 384/392
SNG_036 St_George_Island 380/386 168/170 87/103 160/164 187/199 230/238 160/188 380/386
SNG_037 St_George_Island 384/386 152/168 87/115 158/160 195/195 228/238 160/160 384/386
SNG_039 St_George_Island 384/392 152/170 85/101 140/168 197/201 230/240 160/160 384/392
SNG_041 St_George_Island 380/396 168/178 103/107 160/164 183/189 228/238 160/184 380/396
SNG_042 St_George_Island 380/394 172/174 91/103 158/160 185/191 242/242 160/178 380/394
SNG_044 St_George_Island 394/394 172/178 99/117 160/164 189/189 NA 160/160 394/394
SNG_048 St_George_Island 390/392 176/178 99/99 156/156 183/189 234/240 160/180 390/392
SNG_050 St_George_Island 384/394 174/178 93/93 156/166 197/197 236/238 160/176 384/394
SNG_051 St_George_Island 382/386 166/168 99/103 160/160 185/189 232/234 160/160 382/386
SNG_052 St_George_Island 386/390 168/174 105/111 142/142 191/197 238/240 160/160 386/390
SNG_054 St_George_Island 382/394 172/182 115/123 154/160 185/197 234/236 160/160 382/394
SNG_056 St_George_Island 380/394 168/178 105/107 162/166 189/195 230/234 160/160 380/394
